,Pressure(cm)_,Visibility(km)_,Distance(km)_,Wind_Speed(kmh)_,Precipitation(cm)_,index,State,ID,Source,Severity,Start_Time,End_Time,Start_Lat,End_Lat,Start_Lng,End_Lng,Side,City,Country,Humidity(%),Wind_Direction,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
0,48.34469393407184,6.437376023178674,0.8561710110827637,17.365633979975563,0.008975067395775256,1858313,CA,A-1858314,Bing,2,2016-10-13 08:21:38,2016-10-13 14:21:38,34.066969,34.06675,-117.448236,-117.45753,R,Fontana,US,81.0,Calm,Haze,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1,48.2642267337821,16.093440057946687,0.016093440057946686,11.104446000000001,0.013794377358668177,349842,CA,A-349843,MapQuest,2,2017-03-17 18:38:04,2017-03-17 19:22:48,34.107079,,-117.91658,,L,Azusa,US,36.0,SSW,Clear,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
2,48.40906769430362,16.093440057946687,0.016093440057946686,17.917318666666667,0.00182190716272932,408655,CA,A-408656,MapQuest,2,2017-05-03 08:47:13,2017-05-03 09:18:00,34.350292,,-117.385628,,R,Hesperia,US,27.0,Calm,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3,47.942357932623175,16.093440057946687,0.0,16.737136,0.013726757379929408,492950,CA,A-492951,MapQuest,2,2017-07-22 17:31:12,2017-07-22 18:00:55,38.21022,,-122.146347,,R,Fairfield,US,43.0,South,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
4,48.69874961534667,16.093440057946687,21.967545065132484,20.438617999999998,0.0703249020994885,916616,PA,A-916617,MapQuest,3,2018-09-24 16:34:34,2018-09-24 17:04:04,40.609047,,-79.947289,,L,Gibsonia,US,81.0,ESE,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
5,48.19985297355032,16.093440057946687,0.0,14.805927999999998,0.004951827830566141,995727,CA,A-995728,MapQuest,3,2018-07-01 06:07:40,2018-07-01 06:37:18,37.315025,,-121.909073,,R,San Jose,US,83.0,ESE,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
6,48.40906769430362,16.093440057946687,0.0,9.334171999999999,0.012392809200766183,810338,LA,A-810339,MapQuest,2,2018-10-03 09:42:01,2018-10-03 10:11:47,30.432772,,-91.057465,,L,Baton Rouge,US,79.0,East,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
7,47.733143211869866,0.32186880115893374,2.0857098315098903,21.507234166428233,0.08046720028973343,1987527,WA,A-1987528,Bing,3,2019-02-11 17:17:13,2019-02-11 17:47:07,47.634443,47.651586,-122.94395,-122.932633,R,Brinnon,US,93.0,North,Snow,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
8,48.40906769430362,16.093440057946687,0.9736531235057744,18.50741,0.0,1947403,NY,A-1947404,Bing,2,2017-06-28 20:33:59,2017-06-29 02:33:59,40.73852,40.73986,-73.80653000000002,-73.81796,R,Fresh Meadows,US,37.0,West,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,Night,Day,Day,Day
9,48.103292333202646,16.093440057946687,3.106033846773617,18.50741,0.048280320173840055,1514503,NY,A-1514504,MapQuest,3,2017-11-22 09:31:19,2017-11-22 10:01:08,40.98724,,-73.68073299999998,,R,Rye,US,93.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
10,48.39297425424568,16.093440057946687,0.8320308509958436,11.748182,0.01103225946160795,2151890,DC,A-2151891,Bing,2,2018-03-26 08:14:46,2018-03-26 14:14:46,38.87107,38.878131,-76.98888000000002,-76.992062,R,Washington,US,,North,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
11,48.48953489459336,16.093440057946687,0.0,11.104446000000001,0.01919578941980832,1220827,TX,A-1220828,MapQuest,3,2018-04-24 09:49:04,2018-04-24 10:48:39,32.913105,,-96.873436,,R,Dallas,US,44.0,NNE,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
12,48.39297425424568,6.437376023178674,0.0,14.805927999999998,0.19312128069536022,1551988,MI,A-1551989,MapQuest-Bing,3,2017-10-11 06:56:53,2017-10-11 07:26:32,42.432487,,-83.094902,,R,Highland Park,US,93.0,NE,Rain,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
13,48.006731692854956,16.093440057946687,0.0,9.334172,0.021457920077262247,904090,AZ,A-904091,MapQuest,2,2018-09-17 06:55:02,2018-09-17 07:24:41,33.219276,,-111.789261,,R,Chandler,US,48.0,Calm,Clear,False,False,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
14,48.11938577326059,16.093440057946687,0.0,16.737136,0.0801919814095359,947765,VA,A-947766,MapQuest,3,2018-08-08 16:13:15,2018-08-08 16:42:57,37.547642,,-77.431381,,R,Richmond,US,46.0,West,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
15,48.36078737412979,16.093440057946687,0.0,18.50741,0.008000385297498797,80680,CA,A-80681,MapQuest,2,2016-09-30 12:32:13,2016-09-30 13:02:00,33.984337,,-117.842659,,R,Diamond Bar,US,26.0,West,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
16,47.92626449256523,16.093440057946687,8.465149838826612,22.208892000000002,0.010676006809080903,796072,OH,A-796073,MapQuest,2,2018-11-27 04:40:45,2018-11-27 05:24:41,40.993092,,-81.662689,,R,Barberton,US,79.0,WNW,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Night,Night
17,48.48953489459336,16.093440057946687,0.6694871064105821,21.27850150557456,0.0,2179241,CA,A-2179242,Bing,2,2018-01-24 08:24:14,2018-01-24 14:24:14,33.766040000000004,33.76598,-117.9554,-117.96265,R,Garden Grove,US,70.0,Calm,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day
18,48.28032017384005,16.093440057946687,0.0,35.244546,0.03217653070501565,1281054,NV,A-1281055,MapQuest,2,2018-03-23 05:42:53,2018-03-23 06:12:38,39.566311,,-119.486832,,R,Reno,US,38.0,WSW,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
19,48.103292333202646,16.093440057946687,0.0,13.035654,0.0010495720803062822,1053826,CA,A-1053827,MapQuest-Bing,3,2018-06-03 01:43:44,2018-06-03 02:13:27,37.581242,,-122.325409,,R,San Mateo,US,67.0,WNW,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
20,48.42516113436157,16.093440057946687,0.016093440057946686,7.402963999999999,0.0013411200048288907,403138,CA,A-403139,MapQuest,3,2017-04-10 02:57:07,2017-04-10 03:41:40,34.507729,,-117.322975,,R,Victorville,US,56.0,SSW,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
21,48.24813329372416,16.093440057946687,0.8030626588915396,11.029486777241845,0.0,1983721,CA,A-1983722,Bing,2,2019-02-05 18:05:15,2019-02-05 18:34:57,38.79095,38.79667,-121.29229,-121.29794,R,Roseville,US,57.0,Calm,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
22,48.24813329372416,16.093440057946687,0.016093440057946686,5.63269,0.0,319497,CA,A-319498,MapQuest,2,2017-02-09 17:49:24,2017-02-09 18:33:48,33.940891,,-117.261436,,R,Moreno Valley,US,100.0,WNW,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
23,48.42516113436157,16.093440057946687,0.0,7.402963999999999,0.0,672944,AZ,A-672945,MapQuest,2,2019-01-24 14:47:35,2019-01-24 15:17:21,33.653286,,-112.36895,,R,Surprise,US,22.0,SE,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
24,48.16766609343443,14.484096052152017,0.0,18.50741,0.02747090512199034,972245,TX,A-972246,MapQuest,2,2018-08-20 08:53:25,2018-08-20 09:52:56,31.85181,,-106.44014,,R,El Paso,US,55.0,ENE,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
